,memory,diff_memory
672,103789568,45887488
673,121408512,63803904
674,97966592,40059392
675,92146176,34619904
676,89124864,31694336
677,76278784,18878976
678,92817920,35589632
679,97671680,40217600
680,88572928,31034368
681,79346688,21965312
682,93016064,35745280
683,92903424,35440128
684,99950592,42500096
685,92397056,34849280
686,78913536,21473792
687,117002752,59739648
688,111848960,53998592
689,102962176,45225472
690,113366016,55743488
691,97862656,40078336
692,110840832,53307392
693,96403456,38654976
694,92580352,35078656
695,81659904,24215040
696,84914176,27618304
697,87601664,30266368
698,94435328,37035008
699,74579968,17074176
700,57211904,2560
701,75027456,18286080
702,68143104,10705920
703,66693120,9374720
704,68208128,10913792
705,66463232,9143296
706,64798720,7507456
707,63324672,6061568
708,62048256,4809728
709,64589312,7372288
710,66011648,8752640
711,72654848,15371776
712,68601856,11203584
713,67560960,10234368
714,68271616,10962432
715,65168896,7847424
716,66667520,9398272
717,65119744,7825408
718,63889408,6621184
719,64218624,6970880
720,61846528,4593664
721,70396928,13182976
722,70150144,12791296
723,68649472,11295232
724,66530304,9202688
725,67548672,10257920
726,65590272,8281088
727,63629312,6353408
728,63270912,6027264
729,62542848,5305856
730,63092736,5867520
731,67286528,10052608
732,68982272,11677184
733,66569728,9236992
734,68980224,11687936
735,67687424,10354688
736,66877440,9566208
737,64432128,7134720
738,63083520,5827584
739,63202304,5968384
740,63432704,6196736
741,63301120,6062080
742,74952192,17714688
743,68695040,11257856
744,67153920,9824768
745,69622272,12320256
746,67227648,9884160
747,64764416,7461376
748,65210368,7948288
749,63293952,6024704
750,62443008,5205504
751,62871040,5647872
752,69248000,12017152
753,63802880,6464512
754,70094848,12849664
755,64295424,6943232
756,65928192,8674304
757,65008640,7727104
758,65615360,8349184
759,66552832,9276928
760,67652608,10360320
761,64110592,6800896
762,67532800,10281472
763,66912768,9603584
764,66585600,9288192
765,67067392,9775104
766,64945664,7645184
767,65998336,8733184
768,67500032,10217984
769,68461056,11151872
770,66893312,9568768
771,67011584,9713152
772,65054720,7754752
773,70492672,13225984
774,65664000,8305664
775,68253184,10976256
776,69026816,11706880
777,66342912,9007616
778,69624320,12336640
779,70166016,12822528
780,69520896,12167168
781,65912832,8571392
782,66078720,8798208
783,65121792,7838208
784,67832320,10564096
785,72555520,15241728
786,72058880,14666752
787,73421824,16038400
788,71435264,14027264
789,72063488,14690816
790,71318528,13935104
791,76633600,19262464
792,69352448,11889664
793,71244800,13907456
794,72283648,14914048
795,72812544,15424512
796,72654848,15258112
797,72319488,14925824
798,70788608,13397504
799,74110464,16747008
800,70193152,12773376
801,91178496,33824768
802,91868160,34146816
803,87287296,29558272
804,94433280,36781568
805,84393472,26606080
806,79624704,22026752
807,74681344,17170432
808,71164416,13735424
809,72750592,15381504
810,89376768,31982592
811,76634624,18945536
812,87362560,29900800
813,89525248,31869952
814,81273344,23578624
815,77085184,19545088
816,70228480,12758016
817,75197952,17845248
818,82800640,25363456
819,80477184,22906880
820,84149760,26621952
821,82946048,25352192
822,87403008,29831168
823,75497472,17839616
824,83630080,26189824
825,94777856,37194752
826,83807744,26017792
827,87220736,29633536
828,96256000,38608384
829,82945536,25118720
830,84992512,27420160
831,83467264,25856512
832,87841280,30255616
833,87262208,29590016
834,84052992,26402816
835,85078016,27487232
836,89035776,31422464
837,79811072,22123520
838,95175680,37657088
839,83776512,25977344
840,83159040,25571328
841,88945664,31368704
842,86957568,29272064
843,81481728,23848448
844,88409600,30863360
845,83493888,25820160
846,87948288,30363648
847,82778112,25111040
848,88316416,30744576
849,83508224,25839104
850,72483840,14899712
851,93203456,35811328
852,93784064,36017152
853,86907904,29125632
854,86803456,29173248
855,87036928,29412864
856,83498496,25861632
857,87174656,29593088
858,74614784,16970240
859,77221888,19793920
860,81374208,23896064
861,82691584,25142784
862,84992512,27423744
863,82648576,25036800
864,91114496,33545728
865,84249600,26522112
866,78771712,21170688
867,90328064,32827904
868,83724288,26011136
869,82997760,25411584
870,78518272,20942848
871,84902912,27415040
872,86918144,29312000
873,80617472,22986752
874,83004416,25472000
875,76718080,19146240
876,87091200,29628416
877,92988928,35348992
878,95477760,37741056
879,92920320,35116544
880,81656320,23907328
881,79277056,21728256
882,83719168,26212864
883,84025856,26437120
884,89165312,31570432
885,90403328,32719360
886,84822528,27107840
887,80525824,22919680
888,78697472,21165568
889,87401984,29902336
890,87110144,29453824
891,82058752,24417280
892,87788032,30226432
893,76266496,18604032
894,87783424,30328320
895,89747968,32088064
896,82734592,25039360
897,82735616,25168384
898,85157888,27587584
899,74853888,17238528
900,64590336,7157760
901,81738752,24480256
902,99565056,42003456
903,83729408,25862144
904,78507520,20921344
905,89219584,31740928
906,94667264,36975104
907,87022592,29235712
908,91055616,33419264
909,95204864,37476352
910,89996288,32186368
911,98840064,41142272
912,93319168,35487232
913,83837440,26073600
914,87288320,29703680
915,90023424,32371712
916,93511680,35806208
917,89060352,31296000
918,90282496,32601600
919,96254976,38544384
920,89616896,31795712
921,79882752,22181376
922,74642432,17119232
923,79414784,21988864
924,87216128,29702144
925,85467136,27820032
926,89415168,31796736
927,79369216,21682176
928,64233472,6724096
929,99587072,42334208
930,102581248,44717056
931,96029696,38090752
932,83250176,25425920
933,84359680,26782720
934,92491264,34893312
935,100337664,42596864
936,89430528,31542272
937,93081600,35390976
938,88946688,31190016
939,88050688,30363136
940,91000832,33336832
941,93221376,35497472
942,93856256,36088832
943,87941120,30166016
944,87244800,29580288
945,88505856,30856704
946,99499008,41824256
947,94939648,37049856
948,86988288,29193216
949,87179776,29544960
950,78800384,21154816
951,100254720,42752000
952,85272064,27377152
953,81389568,23774720
954,70513152,12968448
955,71589376,14231040
956,62799872,5423104
957,100638208,43408896
958,112806912,54901760
959,93154816,35037696
960,100600320,42848256
961,99575808,41679872
962,90740224,32885760
963,91435008,33724928
964,94943232,37217280
965,93716480,35920384
966,93616640,35843072
967,94496768,36728320
968,94661120,36877312
969,95809536,38022656
970,93801472,35991552
971,87016960,29246464
972,82138112,24501760
973,80375296,22818816
974,78708736,21179392
975,79113216,21616640
976,90227200,32721408
977,87116800,29400576
978,85280256,27638784
979,75973632,18360320
980,70690304,13241344
981,69986304,12625920
982,70343680,12994560
983,63513088,6158848
984,62847488,5606912
985,105519104,48289280
986,85444608,27477504
987,93028352,35410432
988,88967680,31233024
989,99802624,42124288
990,91359232,33467392
991,91812864,34085376
992,84819968,27087872
993,102363136,44757504
994,93621760,35696128
995,88465408,30708736
996,92888064,35216384
997,94033408,36278272
998,86813696,29036032
999,94290432,36665856
1000,83763712,25976320
1001,94213120,36616704
1002,72439808,14659072
1003,76654080,19265024
1004,69538304,12076544
1005,87496704,30155264
1006,91138048,33475584
1007,92827648,35105280
1008,83963392,26222080
1009,77209088,19619840
1010,76544000,19072000
1011,86897152,29437440
1012,82403328,24774144
1013,105202688,47640064
1014,130580480,72587264
1015,113078272,54571008
1016,107088896,48946688
1017,93411328,35398656
1018,99902976,42148352
1019,95782912,37891072
1020,94463488,36662272
1021,90727936,32950272
1022,95028224,37312000
1023,87083520,29293056
1024,87024128,29384192
1025,83311104,25674752
1026,87965184,30388736
1027,79732736,22067200
1028,79396352,21880832
1029,87341056,29833728
1030,70958592,13303808
1031,81964032,24600576
1032,82778624,25223168
1033,80763392,23192576
1034,75407360,17870848
1035,81406976,23967232
1036,87491584,29940736
1037,73105408,15449088
1038,76914688,19513344
1039,69291008,11824640
1040,76150272,18814464
1041,80162304,22707200
1042,101263872,43736576
1043,138905600,80974336
1044,117537280,58854400
1045,107465728,49242624
1046,115277312,57250816
1047,95730688,37544448
1048,93776896,35968000
1049,89472000,31704576
1050,89097216,31405056
1051,89095680,31414272
1052,94355456,36666880
1053,100370432,42596864
1054,79092224,21193216
1055,87834624,30330368
1056,87214592,29553152
1057,88086528,30439424
1058,76084224,18412032
1059,72185344,14734848
1060,79178240,21793280
1061,75527168,18021376
1062,71845376,14403584
1063,76355072,18976256
1064,88730624,31275520
1065,72694272,15011328
1066,76800000,19406336
1067,82246656,24783360
1068,72159232,14599168
1069,73782272,16397824
1070,79771136,22357504
1071,65246720,7727104
1072,141488128,84218880
1073,126183424,67467264
1074,106836480,48410112
1075,93525504,35505152
1076,107289088,49533952
1077,93953536,35914752
1078,102191616,44418560
1079,81416704,23486976
1080,89347584,31804416
1081,93146624,35458048
1082,76556800,18812928
1083,88095232,30636544
1084,74786816,17119232
1085,85319680,27890688
1086,75436544,17825792
1087,78512640,21072896
1088,92683776,35200512
1089,93948928,36207616
1090,90334720,32552448
1091,77216256,19507712
1092,79513088,22044160
1093,86992896,29480960
1094,84902912,27268096
1095,79927808,22320640
1096,72299008,14778880
1097,70129664,12743168
1098,68116992,10767360
1099,65451008,8134144
1100,62332416,5060096
1101,152985600,95763968
1102,131392512,72420864
1103,121085952,62533632
1104,106709504,48406528
1105,108001792,49974784
1106,96096256,38049792
1107,86833664,29021696
1108,87103488,29477376
1109,84130816,26489856
1110,78843392,21250048
1111,81136128,23638016
1112,86990848,29449728
1113,84564480,26929664
1114,80046592,22445568
1115,79085056,21564928
1116,90478592,32973824
1117,82256384,24539648
1118,81147392,23583232
1119,88529920,30990336
1120,84889600,27211264
1121,78525440,20916736
1122,89445888,31951872
1123,72379904,14677504
1124,73018880,15630848
1125,78517760,21118976
1126,77266432,19779072
1127,82182144,24706560
1128,71076352,13510144
1129,75053056,17687040
1130,128923136,71487488
1131,136815616,78301696
1132,118463488,59822080
1133,106203648,47976960
1134,83932672,25935360
1135,89233920,31650816
1136,94639104,36956672
1137,87332352,29543424
1138,80968704,23314944
1139,79301120,21764608
1140,82315264,24807936
1141,105767936,48206336
1142,80315904,22349312
1143,90579968,33051136
1144,107159552,49446400
1145,88845824,30796288
1146,90740736,33064448
1147,88795136,31075840
1148,78692864,21010432
1149,73837056,16341504
1150,78514688,21102080
1151,73219072,15734272
1152,76378624,18975232
1153,73576448,16118272
1154,81482752,24074752
1155,69803008,12252160
1156,74108928,16763904
1157,95071232,37651456
1158,73498112,15689728
1159,83907584,26498560
1160,142785024,85182464
1161,118487552,59728384
1162,101564928,43324928
1163,112837120,54918144
1164,96072704,37929472
1165,96303104,38487040
1166,75960320,18132992
1167,83064832,25617408
1168,87271936,29698048
1169,89053184,31402496
1170,105894400,48209920
1171,93911552,35895808
1172,94911488,37135360
1173,81243648,23453184
1174,76005376,18465792
1175,73263104,15813632
1176,87123968,29721088
1177,76587520,18945024
1178,81638912,24178688
1179,87567360,30017024
1180,72265216,14611968
1181,74633216,17247232
1182,92754432,35328512
1183,78510592,20755456
1184,73479680,15998464
1185,82237952,24831488
1186,70915072,13355520
1187,78548480,21185024
1188,70790144,13295104
1189,111247872,53885952
1190,136276992,78193152
1191,119651328,61033472
